--a, --b, P@k (Rocchio), R@k (Rocchio), A@k (Rocchio)
0.05, 0.65, 0.10714285714285714, 0.2239098005813439, 0.0061079024382797
0.05, 0.7000000000000001, 0.10857142857142857, 0.22399825701654957, 0.006234821892930246
0.05, 0.75, 0.10857142857142857, 0.22399825701654957, 0.006234949869014076
0.05, 0.8, 0.10857142857142855, 0.2265072031787465, 0.006167419916156926
0.05, 0.8500000000000001, 0.10714285714285714, 0.2239098005813439, 0.0061079024382797
0.05, 0.9, 0.11142857142857142, 0.23920561587715922, 0.006287345267973613
0.05, 0.9500000000000001, 0.10999999999999999, 0.23603101270255605, 0.006227067992506464
0.05, 1.0, 0.10999999999999999, 0.23603101270255605, 0.006227067992506464
0.1, 0.0, 0.14999999999999997, 0.2760140843535234, 0.00842066715767523
0.1, 0.05, 0.13428571428571429, 0.20725506559450474, 0.00777244313250811
0.1, 0.1, 0.13, 0.19943760527704443, 0.007591860335543072
0.1, 0.15000000000000002, 0.13714285714285715, 0.23590585924529833, 0.007888793792593904
0.1, 0.2, 0.14, 0.24014800554201934, 0.008022644883510243
0.1, 0.25, 0.14142857142857143, 0.2496718150658289, 0.008082292959859782
0.1, 0.30000000000000004, 0.14, 0.24014800554201934, 0.008022644883510243
0.1, 0.35000000000000003, 0.12142857142857143, 0.25183732246729135, 0.006958568664811993
0.1, 0.4, 0.12857142857142856, 0.2620591231385303, 0.007334983032438315
0.1, 0.45, 0.1242857142857143, 0.25047003806629903, 0.007131171010161035
0.1, 0.5, 0.11857142857142858, 0.2305403117898235, 0.006833287470393939
0.1, 0.55, 0.11428571428571428, 0.227116738536355, 0.006565457421418383
0.1, 0.6000000000000001, 0.10857142857142857, 0.21456290392794572, 0.0062994352721809825
0.1, 0.65, 0.10714285714285714, 0.2239098005813439, 0.0061079024382797
0.1, 0.7000000000000001, 0.10857142857142857, 0.22399825701654957, 0.006234821892930246
0.1, 0.75, 0.10857142857142857, 0.22399825701654957, 0.006234821892930246
0.1, 0.8, 0.10857142857142855, 0.2265072031787465, 0.006167419916156926
