-w, -tr, -p, -s, -n, P@k, R@k, A@k, P@k (Rocchio), R@k (Rocchio), A@k (Rocchio)
false, true, false, true, 3, 0.24874674345262582, 0.30014669910638186, 0.38977601141807133, 0.08571428571428573, 0.13987563728249217, 0.005640061389492115
false, true, false, true, 4, 0.1682205513784461, 0.38198996561511905, 0.10562928147518412, 0.12857142857142856, 0.24819247917076268, 0.007408037457432932
false, true, false, true, 5, 0.1710894660894661, 0.3667458922281885, 0.19077651240972252, 0.12142857142857143, 0.29068476733560294, 0.0069960502758253055
false, true, false, true, 6, 0.2257439052175894, 0.4876647031301453, 0.28840926271554207, 0.1057142857142857, 0.25889918421358465, 0.006010073990155744
false, true, false, true, 7, 0.22835775335775338, 0.4355624147353668, 0.37254232497356715, 0.11571428571428569, 0.2849618737088585, 0.006532597882470583
false, true, false, true, 8, 0.2782226628843169, 0.4175713101146413, 0.4227338507642123, 0.10857142857142854, 0.2394761077880608, 0.006199778806484114
false, true, false, false, 3, 0.20531887702940338, 0.25856559604681933, 0.39309626482500953, 0.13714285714285715, 0.2913906707531856, 0.007281549848371641
false, true, false, false, 4, 0.21633687682849637, 0.2317578054433355, 0.5518293966569829, 0.18285714285714286, 0.4250512897021253, 0.009738726591029761
false, true, false, false, 5, 0.2847222222222222, 0.21058240836909045, 0.6342352092352094, 0.16857142857142857, 0.3855128931740429, 0.012844577450038796
false, true, false, false, 6, 0.23809523809523808, 0.19208777893179746, 0.46158730158730166, 0.1428571428571428, 0.3339654694162668, 0.013109538330180191
false, true, false, false, 7, 0.2758333333333333, 0.17021277893179743, 0.5123809523809524, 0.13428571428571426, 0.3399426593388821, 0.018569603392347502
false, true, false, false, 8, 0.3280952380952381, 0.1706484765698118, 0.5123671497584541, 0.13714285714285715, 0.3291331355293583, 0.024102001735909036
false, false, true, true, 3, 0.24011599777150014, 0.3778357871351923, 0.41422959338095305, 0.0942857142857143, 0.17718348067861803, 0.005979135945805856
false, false, true, true, 4, 0.19336734693877553, 0.42823826493484696, 0.10233801101530277, 0.12285714285714285, 0.2263428918043213, 0.0071876548243555586
false, false, true, true, 5, 0.21545454545454545, 0.40698793545337786, 0.13938372866016302, 0.13428571428571426, 0.30038576608716355, 0.007450797105944848
false, false, true, true, 6, 0.2777777777777777, 0.4969770098710236, 0.31480606950239526, 0.12857142857142856, 0.27944825805884604, 0.007087467846033366
false, false, true, true, 7, 0.2646729279947273, 0.46538129683366064, 0.38824525106246177, 0.13428571428571426, 0.3178184903551228, 0.007186046412787723
false, false, true, true, 8, 0.29145803456948954, 0.41720735195784, 0.5059193617202399, 0.13285714285714284, 0.29894913431566206, 0.007240986152050309
false, false, true, false, 3, 0.17771796916533758, 0.26777970685183927, 0.3334723732274116, 0.15857142857142856, 0.40105603802368933, 0.008127434212072689
false, false, true, false, 4, 0.21117566643882432, 0.2415115014908472, 0.5222088539479844, 0.19428571428571423, 0.47534172580560274, 0.010761003710170256
false, false, true, false, 5, 0.2356000481000481, 0.22099907503575714, 0.4714217296113848, 0.18857142857142853, 0.47638374454489424, 0.01911974047338081
false, false, true, false, 6, 0.2819875776397516, 0.20785682128249444, 0.5346445824706695, 0.17714285714285716, 0.4284716747692214, 0.024819708098963715
false, false, true, false, 7, 0.3863945578231293, 0.23062889949987486, 0.633692365835223, 0.17428571428571424, 0.43105670878282676, 0.02956732634265339
false, false, true, false, 8, 0.41795506081220374, 0.23395093006648746, 0.6804857208583917, 0.17714285714285707, 0.45191385163996967, 0.03864887061507069
false, false, false, true, 3, 0.24874674345262582, 0.30014669910638186, 0.38977601141807133, 0.08571428571428573, 0.13987563728249217, 0.005640061389492115
false, false, false, true, 4, 0.1682205513784461, 0.38198996561511905, 0.10562928147518412, 0.12857142857142856, 0.24819247917076268, 0.007408037457432932
false, false, false, true, 5, 0.1710894660894661, 0.3667458922281885, 0.19077651240972252, 0.12142857142857143, 0.29068476733560294, 0.0069960502758253055
false, false, false, true, 6, 0.2257439052175894, 0.4876647031301453, 0.28840926271554207, 0.1057142857142857, 0.25889918421358465, 0.006010073990155744
false, false, false, true, 7, 0.22835775335775338, 0.4355624147353668, 0.37254232497356715, 0.11571428571428569, 0.2849618737088585, 0.006532597882470583
false, false, false, true, 8, 0.2782226628843169, 0.4175713101146413, 0.4227338507642123, 0.10857142857142854, 0.2394761077880608, 0.006199778806484114
false, false, false, false, 3, 0.20531887702940338, 0.25856559604681933, 0.39309626482500953, 0.13714285714285715, 0.2913906707531856, 0.007281549848371641
false, false, false, false, 4, 0.21633687682849637, 0.2317578054433355, 0.5518293966569829, 0.18285714285714286, 0.4250512897021253, 0.009738726591029761
false, false, false, false, 5, 0.2847222222222222, 0.21058240836909045, 0.6342352092352094, 0.16857142857142857, 0.3855128931740429, 0.012844577450038796
false, false, false, false, 6, 0.23809523809523808, 0.19208777893179746, 0.46158730158730166, 0.1428571428571428, 0.3339654694162668, 0.013109538330180191
false, false, false, false, 7, 0.2758333333333333, 0.17021277893179743, 0.5123809523809524, 0.13428571428571426, 0.3399426593388821, 0.018569603392347502
false, false, false, false, 8, 0.3280952380952381, 0.1706484765698118, 0.5123671497584541, 0.13714285714285715, 0.3291331355293583, 0.024102001735909036
